Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
North Coast Ventures,https://northcoast.vc/,,,,,,Angel network,,
North Country Angels,http://northcountryangels.com/,,,,,,Angel network,,
North First Ventures,https://www.n1v.com/,,,,"3. Early Revenue,4. Scaling",,VC,,
North Sky Capital,https://northskycapital.com/home,https://www.linkedin.com/company/north-sky-capital,,,,,,,
North Texas Angel Network,http://northtexasangelnetwork.org/,https://www.linkedin.com/company/ntan,,,,,Angel network,,
North West Fund,http://www.thenorthwestfund.co.uk/about-the-fund/funds/energy-environmental/,https://www.linkedin.com/company/the-north-west-fund,UK,UK,3. Early Revenue,,VC,"$200,000 ",
North-East Venture,http://www.north-eastventure.com/,,,,,,Other,,
Northcap,http://northcap.vc/,,,,,,VC,,
Northeast Angels,https://northeastangelsnh.wordpress.com/,,,,,,Angel network,,
Northern Michigan Angels,http://northernmichiganangels.com/,,,,,,Angel network,,
Northern New England Women Investor's Network,https://nnewin.org/,,,,,,Angel network,,
Northern Ontario Angels,http://www.northernontarioangels.ca/en/,https://ca.linkedin.com/company/northern-ontario-angels,,,,,Angel network,,
Northpond Ventures,https://northpondventures.com/,https://www.linkedin.com/company/northpond-ventures/about/,,USA,,,Other,,
Northwell Ventures,https://www.northwell.edu/,https://www.linkedin.com/company-beta/7968/,"New Hyde Park, New York, United States",USA,,,Corporate VC,,
Northzone,https://northzone.com/,https://www.linkedin.com/company/northzone,UK,"USA,UK,Germany,Spain,Sweden,Finland,Norway,Denmark,France,Italy","3. Early Revenue,4. Scaling,5. Growth","Northzone is a venture capital fund with a perspective shaped by lives as entrepreneurs. Established in 1996, they have raised over â‚¬1.5 billion in funds and partnered with the founders of Spotify, Avito, iZettle, Klarna, Hopin, and hundreds of others to build category-defining businesses. The firm has offices across the Nordics, London, and NewYork, it works around the clock to connect its companies with customers, business partners, and key talent on a truly international scale.",VC,"$1,000,000 ","$15,000,000 "
NVP Norwest Venture Partners,https://www.nvp.com/venture/,https://www.linkedin.com/company/norwest-venture-partners/,"525 University Avenue, Suite 800, Palo Alto, CA 94301, US","Canada,USA,India,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in all verticals with a focus on healthcare, consumer, enterprise software.",VC,"$500,000 ","$10,000,000 "
Noshaq,https://www.noshaq.be/,https://www.linkedin.com/company/noshaq-be/?originalSubdomain=fr,Belgium,"USA,Israel,Canada",3. Early Revenue,,VC,,
Notion Capital,https://notion.vc/,https://www.linkedin.com/in/anpanayiotou/,UK,"UK,France",3. Early Revenue,,VC,,
Nova,https://www.wearenova.co.uk/,https://www.linkedin.com/company/wearenova,"44 Simpson StLiverpool L1 0AX, UK",UK,"1. Idea or Patent,2. Prototype",We invest in founders that have identified real wold problems worth solving in a large enough global markets. We then co-found a company to solve that problem utilising technology to create a scalable business. ,Startup studio,"$100,000 ","$300,000 "
Nova Founders Capital,https://www.novafounders.com/,http://www.linkedin.com/company/nova-founders,,Hong Kong,,,Other,,
Novak Biddle Venture Partners,http://novakbiddle.com/,,"Bethesda, Maryland, United States",USA,,,Other,,
Novalis LifeSciences,https://www.novalislifesciences.com/,,,USA,,,Other,,
Novaris Equity,http://www.novaris.fr/,,,France,,,Other,,
Novartis Venture Fund,https://www.nvfund.com/,https://www.linkedin.com/company/1406?trk=prof-exp-company-name,"Basel, Basel-Stadt, Switzerland","Israel,USA,Canada,Switzerland",3. Early Revenue,,Corporate VC,,
Noventi Ventures,http://www.noventi.net,https://www.linkedin.com/company/noventi-vc/about/,"Newark, California, United States",USA,,,Family office,,
Noveo Group,http://www.noveogroup.com/,https://www.linkedin.com/company/noveo-group,,,,,VC,,
Novo Holdings,https://www.novoholdings.dk/investments/ventures/,https://www.linkedin.com/company/novo-a-s/,"BagsvÃ¦rd, Hovedstaden, Denmark","USA,Canada,Denmark","2. Prototype,3. Early Revenue",,Corporate VC,"$1,000,000 ",
NovX Capital,https://novxcapital.com/,https://www.linkedin.com/company/novx-capital/,"162 boulevard Haussmann 75008 Paris, France",France,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early stage and technological startups.,Corporate VC,"$60,000 ","$600,000 "
NPS Capital,https://nps.vc/,,,,"2. Prototype,3. Early Revenue",,VC,,
NT Patrimoine et Finance,https://www.ntpatrimoine.com/,https://www.linkedin.com/in/nicolas-triffoz-4168332a/?originalSubdomain=fr,,Italy,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",,Family office,,
NTF Capital,https://ntf-capital.com/,,,France,,,Other,,
NTT Docomo Ventures,https://www.nttdocomo-v.com/en/,,,Japan,,,Corporate VC,,
Nucleus Adventure Capital,http://www.nucleusavc.com/,,,,,,VC,,
NueCura Partners,http://www.nuecura.com/,https://www.linkedin.com/company/3593320?trk=tyah&trkInfo=tas%3Anuecura%2Cidx%3A1-1-1,,,,,Angel network,,
Nuwa Capital,https://nuwacapital.io/,https://www.linkedin.com/company/nuwacapital/,"Dubai, UAE and Riyadh, KSA","UAE,Saudi Arabia,Oman,Egypt,Jordan,Pakistan,Turkey,Lebanon,Kenya,Uganda,Morocco,Tunisia,Bahrain,Kuwait","3. Early Revenue,4. Scaling,5. Growth","We invested in early stage technology businesses in emerging markets with particular focus on SaaS, DTC e-commerce, Fintech and other rapidly digitizing industries",VC,"$250,000 ","$7,000,000 "
Nvidia GPU Ventures,http://www.nvidia.com/content/global/global.php,,,,,,Other,,
NXTP Ventures,https://nxtp.vc/,https://www.linkedin.com/company/nxtp-ventures/,,,"2. Prototype,3. Early Revenue",,VC,,
NYC Seed,http://www.nycseed.com/,,,,,,VC,,
NYCA Partners,http://www.nyca.com,,,,,,VC,,
NYU Innovation Venture Fund,http://entrepreneur.nyu.edu/resource/innovation-venture-fund/,https://www.linkedin.com/company/nyu-entrepreneurial-institute/,,,,,VC,,
