Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Cerca Partners,http://www.cerca-partners.com,,,,"5. Growth,6. Pre-IPO",,VC,,
Ceres,https://ceres-inc.jp/,,,Japan,,,Corporate VC,,
CerraCap Ventures,https://www.cerracap.com/h/,,,,,,,,
Cervin Ventures,https://www.cervinventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
CFV Ventures,https://www.fintechvc.us/,https://www.linkedin.com/company/cfv-ventures/,"222 S Church St, Charlotte, North Carolina US","USA,Germany,France,Morocco,Ukraine,UK,Nigeria,Ireland,Australia","3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent",We invest in early-stage startups primarily based in the United States or affiliated with the Queen City Fintech Accelerator program. Seed and Series A.,VC,"$50,000 ","$250,000 "
Chaac Ventures,http://www.chaacventures.com/,https://www.linkedin.com/company/lancet-ventures/,,,,,,,
Chaifetz Group,http://www.chaifetzgroup.com,https://www.linkedin.com/company/chaifetz-group-/,"Chicago, Illinois, United States",USA,,,Family office,,
Chalmers Ventures AB,http://www.chalmersventures.com/,,Sweden,Sweden,2. Prototype,,VC,,
Champel Capital,https://champelcapital.com/,,,,"5. Growth,6. Pre-IPO",,VC,,
Champion Hill Labs,https://www.championhillventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Change Ventures,https://www.changeventures.com/,https://www.linkedin.com/company/22305274/,"Sepise 9, Tallinn, Estonia","Estonia,Latvia,Lithuania,Spain,Germany,UK,USA","3. Early Revenue,4. Scaling",We invest in ambitious Baltic founders wherever they set-up their businesses. Primarily focused on Seed stage companies operating internationally.,VC,"$350,000 ","$1,300,000 "
Charge Ventures,https://charge.vc/,,,USA,,,Other,,
Charleston Angel Partners,https://www.chapsc.com/,,,,,,Angel network,,
Charlottesville Angel Network,http://cvilleangelnetwork.net/,,,,,,Angel network,,
Charterhouse Strategic Partners,http://www.charterhousestrategicpartners.com,https://www.linkedin.com/company/10930968?trk=tyah&trkInfo=clickedVertical%3Acompany%2CentityType%3AentityHistoryName%2CclickedEntityId%3Acompany_company_company_company_company_company_company_company_company_10930968%2Cidx%3A0,"Summit, New Jersey, United States",USA,,,Family office,,
Chartline Capital,http://www.chartline.com/,,USA,"Netherlands,USA",3. Early Revenue,,VC,"$1,000,000 ",
Chattanooga Renaissance Fund,https://chattanoogarenaissancefund.com/,,,USA,,,Other,,
Check24 Ventures,https://check24.vc,https://www.linkedin.com/company/check24ventures/,"Frankfurt, Hessen, Germany",Germany,,,Corporate VC,,
Chemical Angel Network,http://www.chemicalangels.com/,,,,,,Angel network,,
Cherrystone Angel Group,http://www.cherrystoneangelgroup.com/,https://www.linkedin.com/company/cherrystone-angel-group/,,,,,Angel network,,
Cherubic Ventures,http://www.cherubic.com/,,China,"China,USA",3. Early Revenue,,VC,,
Chetrit Ventures,http://www.chetritventures.com/,https://www.linkedin.com/company/18451838/,"New York, New York, United States",USA,,,Family office,,
Chevron Technology Ventures,https://www.chevron.com/technology/technology-ventures,http://www.linkedin.com/company/chevron,"Houston, Texas, United States",USA,3. Early Revenue,,Corporate VC,,
Chicago Booth Angel Network of Silicon Valley,https://cbansv.com/,,,,,,Angel network,,
China - ASEAN Cooperation Fund​,http://www.china-asean-fund.com/,,,Hong Kong,,,VC,,
China Merchants Technology Group,http://www.cmhk.com/en/,,,Hong Kong,,,VC,,
China Renaissance Capital Investment,http://www.crcicapital.com/,,,Hong Kong,,,VC,,
Chinaccelerator,http://www.chinaccelerator.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Chingona Ventures,https://www.chingona.ventures/,,,,"2. Prototype,3. Early Revenue",,VC,,
Chiratae Ventures (ex-IDG Ventures India),http://chiratae.com/,https://www.linkedin.com/company/idg-ventures,"Bangalore, Karnataka, India",India,3. Early Revenue,,Corporate VC,,
Chloe Capital,https://chloecapital.com/,,,,"2. Prototype,3. Early Revenue",,Other,,
Chord Capital,http://www.chordcapital.co.uk,,UK,"Israel,USA,Canada,UK",3. Early Revenue,,VC,"$500,000 ",
Chrysalis VCT,http://www.chrysalisvct.co.uk,,UK,UK,3. Early Revenue,,VC,,
Chrysalix Venture Capital,https://chrysalix.com/,https://www.linkedin.com/company/chrysalix-energy-venture-capital/,"1111 W Hastings St, Vancouver, British Columbia V6E 2J3, CA",Canada,,"We invest in intelligent systems, energy technology and resource productivity solutions to deliver outsized financial returns and environmental sustainability.",VC,,
Chukyo TV Broadcasting,https://www.ctv.co.jp/indexmenu.html,,,Japan,,,Corporate VC,,
Cigna Ventures,https://www.cignaventures.com,,"Bloomfield, Connecticut, United States",USA,,,Corporate VC,,
CincyTech,http://cincytechusa.com/,,"Cincinnati, Ohio, United States",USA,,,Other,,
Circadia Ventures,http://www.circadiaventures.com/about.asp,,UK,"USA,UK",3. Early Revenue,,VC,,
CircleUp Growth Partners,https://circleup.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Circularity Capital,https://circularitycapital.com/,,UK,UK,3. Early Revenue,,VC,"$1,000,000 ",
Circulate Capital,https://www.circulatecapital.com/,,,,,,Other,,
CIRTech Fund,https://cirtechfund.com/,https://www.linkedin.com/company/cirtechfund/,,Hong Kong,"5. Growth,6. Pre-IPO",,VC,,
Cisco Investments,https://www.ciscoinvestments.com/,,"San Francisco, California, United States","USA,Canada,India,Israel,UK",3. Early Revenue,,Corporate VC,,
Citi Ventures,http://ventures.citi.com,,"San Francisco, California, United States","USA,Israel",3. Early Revenue,,Corporate VC,,
Citic Capital Holdings,http://www.citiccapital.com/,,,Hong Kong,,,VC,,
Citic Metal,http://www.metal.citic.com,,"Beijing, Beijing, China",China,,,Corporate VC,,
Citizen Capital,http://www.citizencapital.fr/,https://www.linkedin.com/company/citizen-capital/,"16 Place de la République, Paris, 75010, FR",France,"3. Early Revenue,4. Scaling,5. Growth","We invest in ambitious and mission-driven entrepreneurs, trying to solve major social or environmental issues.

We typically participate in rounds from 1 to 10M€, starting pre-series A.

Some portfolio companies : OpenClassrooms, Ulule, RPur, Supermood",VC,"$360,000 ","$4,800,000 "
