Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
ReGen Ventures,https://regen.vc/,https://www.linkedin.com/company/regen-ventures/,"Byron Bay, NSW, Australia","Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Ecuador,Dominican Republic,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Nauru,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Pakistan,Oman,Palestine,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Taiwan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,UAE,Uganda,UK,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in regenerative technology companies created by wildly ambitious teams who want to radically transform our world for the better.,VC,"$250,000 ","$2,500,000 "
Super Capital VC,https://www.supercapital.vc/,https://www.linkedin.com/in/antoinemersch/,Paris,"Angola,Botswana,Cameroon,Central African Republic,Congo (Congo-Brazzaville),Democratic Republic of the Congo,Côte d'Ivoire,Kenya,Nigeria,Senegal,South Africa,Tanzania,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Mexico,Paraguay,Peru,USA,Uruguay,Hong Kong,India,Indonesia,Japan,Singapore,South Korea,Thailand,Austria,Belgium,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Malta,Monaco,Netherlands,Norway,Poland,Portugal,Romania,Spain,Sweden,Switzerland,UK,Algeria,Israel,Morocco,Tunisia,Turkey,UAE,Australia,Fiji,New Zealand","2. Prototype,3. Early Revenue,4. Scaling",We invest in tech.,VC,"$50,000 ","$300,000 "
Verso X,https://www.versoholdings.com/versox,https://www.linkedin.com/company/verso-x/,British Virgin Islands,"Armenia,Australia,Argentina,Bahrain,Bahamas,Belgium,Brazil,Canada,China,Colombia,Côte d'Ivoire,Cyprus,Germany,Denmark,Egypt,Greece,France,Hong Kong,Finland,India,Iceland,Israel,Luxembourg,Indonesia,Italy,Kuwait,Iran,Lebanon,Qatar,Malaysia,Kazakhstan,Japan,Kyrgyzstan,Monaco,Saudi Arabia,Vietnam,USA,UK,Ukraine,UAE,Turkey,Angola,Thailand,Syria,Switzerland,Sweden,South Africa,South Korea,Taiwan,Singapore,Russia,Portugal,Liechtenstein,Oman,Mexico","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in early-stage game-changing technology companies in angel rounds, series seed and pre-series A. 

VERSO X has a proprietary model for investing:
- $50,000 for 5.00% post-money
- 5x warrants or $250,000
- lead investor in next equity or debt round

VERSO X main selection criteria are:
- visionary yet execution-focused founders
- clear unit economics and business model
- proprietary tech and IP 

VERSO X is ultimately: 
- supportive of founders and their personal success
- focused on increasing support along the way
- engaged to deliver business advisory",VC,"$50,000 ","$250,000 "
AI Fund,https://aifund.ai/,https://www.linkedin.com/company/aifund,"195 Page Mill Road Suite 115, Palo Alto, CA 94306, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in tech entrepreneurs who are solving large problems with creative uses of AI/ML. We’re open to all AI applications, but these are the sectors we’re particularly excited about:

Human capital: Creating and enabling talent, ensuring access to jobs, and training and education in all sectors and levels. 

Health and wellness: Helping companies create the infrastructure and tools that enable healthier and longer lives physically and mentally.

Next-generation enterprise: Empowering companies that change how people work and how enterprise systems/processes are automated.

MLOps: Making ML systems easier to build, deploy and maintain in a variety of industries and applications.",VC,"$250,000 ","$1,000,000 "
Florian Huber,https://www.florianhuber.de/,https://www.linkedin.com/in/florianhuber/,"Berlin, Germany","Germany,USA,UK","4. Scaling,3. Early Revenue,2. Prototype,1. Idea or Patent","I invest in Crypto/Web3, Digital Health, SaaS and Consumer Tech.",Solo angel,"$100,000 ","$200,000 "
Signature Ventures,https://www.signatureventures.com,https://www.linkedin.com/company/signatureventures,"Rosenheimer Str. 18, 85653 Aying, Germany","South Africa,Argentina,Brazil,Canada,Mexico,USA,Japan,Singapore,South Korea,Austria,Belgium,Czech Republic,Finland,France,Germany,Hungary,Italy,Liechtenstein,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Switzerland,UK,Ukraine,Australia","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage blockchain, crypto and web3 startups globally.",VC,"$200,000 ","$1,000,000 "
Ventech,https://www.ventechvc.com/,https://www.linkedin.com/company/ventech/,"47 avenue de l'Opéra, Paris, 75002, FR","France,Germany,Austria,Switzerland,Netherlands,Belgium,Sweden,Finland,Denmark,Norway,Poland,Spain,Italy,Portugal,Czech Republic,Slovakia,Latvia,Lithuania,Estonia,Romania,UK,Ireland","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in daring, internationally-ambitious, European digital entrepreneurs from Day One.",VC,"$100,000 ","$8,000,000 "
Redstone,https://www.redstone.vc/,https://www.linkedin.com/company/redstone-digital-gmbh,"Dircksenstraße 47, 10178 Berlin ","Germany,Austria,Switzerland,France,Italy,Finland,Sweden,Spain,Poland,Czech Republic,UK,Ireland,Portugal,Denmark,Turkey,Estonia,Latvia","2. Prototype,3. Early Revenue,4. Scaling",We invest in European early-stage digital technology companies that have found product-market fit and demonstrate early traction.,VC,"$10,000 ","$10,000,000 "
Contrarian Ventures,https://cventures.vc,https://www.linkedin.com/company/contrarian-ventures,"Antakalnio str. 17, Vilnius, Lithuania","Israel,France,UK,Germany,Denmark,Norway,Sweden,Estonia,Poland,Switzerland,Austria,Belgium,Czech Republic,Finland,Greece,Hungary,Iceland,Latvia,Lithuania,Spain,Portugal,Italy,Netherlands,Luxembourg,Ireland,Slovenia,Slovakia","2. Prototype,3. Early Revenue","We invest in Europe and Israel-based early stage (Seed, Seed+, Series A) climate tech startups.

Specifically: Energy, Mobility, Urban Tech.",VC,"$200,000 ","$1,000,000 "
Third Prime,https://www.thirdprime.vc/,https://www.linkedin.com/company/third-prime,"18 E 50th St, New York, NY 10022",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in Fintech, Proptech, and Crypto/Blockchain focused companies",VC,"$50,000 ","$20,000,000 "
Infinium Partners,https://www.infiniumpartners.com/,https://www.linkedin.com/company/infiniumpartners/,"Richmond, London, UK","UK,France,Germany,Australia,USA,Italy,Spain","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in and create opportunities in the logistics, mobility, agtech and proptech sectors. ",VC,"$300,000 ","$1,000,000 "
Davidovs Venture Capital,https://www.davidovs.com/,https://www.linkedin.com/in/ndavidov/,"27200 Deer Springs Way, Los Altos ","USA,Russia,Canada,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in companies founded by repeat founders in deep tech, AI, robotics, future of work, enterprise 4.0",VC,"$25,000 ","$300,000 "
Amit Patel,https://www.linkedin.com/mwlite/in/amitp97,https://www.linkedin.com/mwlite/in/amitp97,"New Jersey, USA","India,USA,Belgium,Austria,Canada,Germany,France,UK","2. Prototype,3. Early Revenue,1. Idea or Patent,4. Scaling,5. Growth","I invest in all seed and growth stage startups in AI, SaaS, Blockchain, Healthcare, IoT, Robotics/Automation",Solo angel,"$10,000 ","$250,000 "
Knockout Capital,https://knockout.capital,https://www.linkedin.com/company/knockoutcap/,"10880 Wilshire Blvd. Suite 1101, Los Angeles, CA 90024, United States","Japan,USA","5. Growth,6. Pre-IPO",We invest in startups defined by automation and platforms that scale. We aim for 100+ startups per year with established ARR via crowdfunding or co-investment. ,Family office,"$2,000,000 ","$10,000,000 "
Refactor Capital,https://www.refactor.com/,https://www.linkedin.com/company/refactor-capital/,"330 Primrose Road, Ste 201, Burlingame, CA 94010","USA,Canada,UK","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in healthcare, biotech, synthetic biology.",VC,"$500,000 ","$2,000,000 "
Defense Angels,http://www.defenseangels.com,https://www.linkedin.com/company/defenseangels/,"Austin, TX 78702, US",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in companies with technologies applicable to national security (deep tech, aerospace / defense, healthcare, cybersecurity, AI, etc)",Angel network,"$50,000 ","$250,000 "
Wenvest Capital,https://www.wenvest.capital/,https://www.linkedin.com/company/wenvestcapital/,"Sporerstrasse 3, 80333 Munich, Germany","Austria,Germany,Switzerland,UK","3. Early Revenue,4. Scaling,5. Growth",We invest in extraordinary B2B SaaS founder teams as well as impact driven business models across the DACH region.,VC,"$500,000 ","$1,000,000 "
Propel Venture Partners,https://propel.vc/,https://www.linkedin.com/company/propelvc,"680 Walnut St, San Carlos, California 94070, US","USA,Brazil,Mexico,Argentina,Colombia","3. Early Revenue,1. Idea or Patent,2. Prototype,4. Scaling","We invest in companies that are relevant to financial services (e.g. fintech, insuretech, crypto, digital transformation, etc.)",VC,"$250,000 ","$5,500,000 "
Quest Ventures,https://www.questventures.com/,https://www.linkedin.com/company/questventures/,Singapore,"Singapore,Malaysia,Indonesia,Philippines,Vietnam,Thailand,Myanmar,Laos,Brunei,Cambodia,Kazakhstan,Uzbekistan,Kyrgyzstan,Turkmenistan,Tajikistan","3. Early Revenue,5. Growth,4. Scaling,2. Prototype,1. Idea or Patent,6. Pre-IPO",We invest in startups with scalability and replicability in large internet communities in Asia.,VC,"$500,000 ","$1,000,000 "
Matthias Hilpert,https://www.matthiashilpert.com/,https://www.linkedin.com/in/matthiashilpert/,"Berlin, Germany","Germany,UK,France,Sweden,Spain,Portugal,Poland",3. Early Revenue,"I invest in B2B, SaaS, Marketplaces, 5-10K monthly revenue, headquartered in Europe, Founder teams incl. CTO, Seed & Series A.",Solo angel,"$25,000 ","$200,000 "
Brickyard,https://www.justlaybrick.com/,https://www.linkedin.com/company/justlaybrick,"917 E. 16th St, Chattanooga, TN 37408, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in pre-seed founders building all categories of high-growth companies. SaaS, marketplaces, crypto, AI, e-commerce, consumer tech, etc. ","Incubator, Accelerator","$50,000 ","$250,000 "
Pear VC,https://www.pear.vc/,https://www.linkedin.com/company/pear-vc/,"158 South Park St, San Francisco, CA","USA,UK,France,Germany,Australia,Italy,Spain,Mexico,Canada,Brazil,Colombia,Argentina,Chile,Peru,Austria,Switzerland,Israel,Portugal","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in pre-seed, seed, and series A companies across industries. ",VC,"$150,000 ","$4,000,000 "
Brandenburg Kapital,https://www.brandenburg-kapital.de/de/bk/index.html,https://www.linkedin.com/company/bfb-brandenburg-kapital-gmbh---ilb/,"Babelsberger Straße 21, 14473 Potsdam, Germany",Germany,"3. Early Revenue,4. Scaling,2. Prototype","We invest in Information & Communication Technologies (ICT), Industry, Life Sciences/ Healthcare",Public fund,"$500,000 ","$2,000,000 "
Element Finance,https://elementfinance.com,https://www.linkedin.com/company/elementsaasfinance,"San Antonio, Texas 78205, US","USA,Ireland,UK,Germany,Australia,France,Spain,Canada,Denmark,Sweden,Norway,Belgium,Netherlands","4. Scaling,5. Growth,6. Pre-IPO",We finance recurring revenue SaaS and other businesses through simple debt finance. ,Revenue-based,"$200,000 ","$10,000,000 "
Scale Venture Partners,https://www.scalevp.com/,https://www.linkedin.com/company/scale-venture-partners,"950 Tower Ln #1150, Foster City, CA 94404","USA,Israel,UK,Germany,France,Portugal,Spain,Ireland,Canada",3. Early Revenue,"We  invest in intelligent business software in markets like: DataOps, DevOps, Digital Health, Fintech, Open Source, Productivity, Security, Vertical SaaS or AI enabled apps - typically lead Series A or Series B rounds, after you’ve signed your first customers and when you’re ready to move from founder-led growth to a repeatable, go-to-market machine.
",VC,"$5,000,000 ","$30,000,000 "
Colle Capital Partners,https://colle.vc,https://www.linkedin.com/company/colle-capital,"55 Hudson Yards, New York, NY 10001, United States","USA,UK,France,Germany,Mexico,Colombia,Brazil,India,Algeria,Kenya,China,Japan","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in Logistics, Healthcare and FinTech, but remain opportunistic in our approach. 

Colle Capital Partners is a global, opportunistic, early stage technology venture fund. Managers have completed deals in various verticals and across all capital structures. While we tend to gravitate towards Logistics, Healthcare and FinTech, we remain opportunistic in our approach. We pay special attention to data. Virtually all our deals have an intrinsic relationship with data as we believe the ability to isolate, utilize and act upon the best possible information is the foundation of success.

We prefer to step in early in the lifecycle of a company and help teams achieve their goals by assisting with all critical tasks that young startups require. We invest in people. Our mission is to identify and back teams that not only demonstrate intellect and passion but are also agile in their thinking and execution. We seek organizations that operate with a clear focus on sustainability in every dimension: business practices, unit economics and environmental impact.",VC,"$500,000 ","$2,000,000 "
Breakout Ventures,https://breakout.vc/,https://www.linkedin.com/company/breakout-ventures/,"San Francisco, CA","USA,Canada","3. Early Revenue,2. Prototype,4. Scaling","We invest in creative biosciences - companies building new biology for applications in human health (therapeutics, diagnostics, and devices) and industry (sustainability and synthetic biology). We invest in Seed and Series A companies.",VC,"$300,000 ","$5,000,000 "
Coparion,https://www.coparion.vc/en,https://www.linkedin.com/company/coparion-gmbh-&-co.-kg/,"Ottoplatz 6, 50679 Cologne, Germany",Germany,"3. Early Revenue,4. Scaling,5. Growth","We invest in German technology and life sciences companies, from early seed to late-stage growth rounds and across all sectors.",VC,"$500,000 ","$8,000,000 "
